,아파트코드,단지명,시군구,주소.읍면동.,kapt도로명주소,세대타입.분양형태.,전용면적(㎡),계약년월,층,건축년도,주차대수,좌표X,좌표Y,범죄율,건물연식,대규모점포_거리,버스정류장_거리,지하철역_거리,학교_거리,유치원_거리,병원_거리,거래금액(만원),Unnamed: 0,년도,월,주택구매력지수,RIR,LIR
64,A10045301,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,임대,84.88,201608.0,2.0,2002.0,776.0,127.0072969,37.5467804,2.590409939,9.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,59800.0,55,2016,8,62.08258035,7.04,3.06
65,A10045302,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,분양,84.88,201608.0,2.0,2002.0,3319.0,127.0072969,37.5467804,2.590409939,5.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,59800.0,55,2016,8,62.08258035,7.04,3.06
66,A10045301,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,임대,59.94,201608.0,18.0,2002.0,776.0,127.0072969,37.5467804,2.590409939,9.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,46400.0,55,2016,8,62.08258035,7.04,3.06
67,A10045302,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,분양,59.94,201608.0,18.0,2002.0,3319.0,127.0072969,37.5467804,2.590409939,5.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,46400.0,55,2016,8,62.08258035,7.04,3.06
68,A10045301,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,임대,84.88,201608.0,14.0,2002.0,776.0,127.0072969,37.5467804,2.590409939,9.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,70000.0,55,2016,8,62.08258035,7.04,3.06
69,A10045302,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,분양,84.88,201608.0,14.0,2002.0,3319.0,127.0072969,37.5467804,2.590409939,5.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,70000.0,55,2016,8,62.08258035,7.04,3.06
70,A10045301,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,임대,59.94,201608.0,7.0,2002.0,776.0,127.0072969,37.5467804,2.590409939,9.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,47000.0,55,2016,8,62.08258035,7.04,3.06
71,A10045302,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,분양,59.94,201608.0,7.0,2002.0,3319.0,127.0072969,37.5467804,2.590409939,5.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,47000.0,55,2016,8,62.08258035,7.04,3.06
72,A10045301,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,임대,84.88,201608.0,4.0,2002.0,776.0,127.0072969,37.5467804,2.590409939,9.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,59500.0,55,2016,8,62.08258035,7.04,3.06
73,A10045302,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,분양,84.88,201608.0,4.0,2002.0,3319.0,127.0072969,37.5467804,2.590409939,5.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,59500.0,55,2016,8,62.08258035,7.04,3.06
